Ratio,Mean,Max,Min,Std,Range,Temp,Time,Season,Lag-1_Ratio,Lag+1_Ratio
0.090051,156311.17650000012,157048.12000000008,155574.23300000015,736.9434999999648,1473.8869999999297,13.5,0,0,0.5,0.1969659
0.1969659,231597.3365,243217.31699999998,219977.35600000003,11619.980499999976,23239.960999999952,4.0,1,0,0.090051,0.7292964
0.7292964,174372.2755000001,175714.30700000023,173030.24399999995,1342.0315000001428,2684.0630000002857,4.0,2,0,0.1969659,0.2763816
0.2763816,187498.55050000013,212192.11800000022,162804.983,24693.567500000107,49387.13500000021,4.75,3,0,0.7292964,0.2513819
0.2513819,190188.25050000002,213186.4889999999,167190.01200000013,22998.23849999989,45996.47699999978,5.0,4,0,0.2763816,0.110334
0.110334,180772.11349999995,212159.78899999982,149384.43800000008,31387.675499999867,62775.35099999973,4.5,5,0,0.2513819,0.1641905
0.1641905,269011.0905,310118.93400000036,227903.24699999962,41107.84350000037,82215.68700000073,4.25,6,0,0.110334,0.2158032
0.2158032,611384.7085000006,851215.0540000017,371554.3629999996,239830.34550000107,479660.69100000215,5.25,7,0,0.1641905,0.240915
0.240915,682528.2110000001,731550.9160000009,633505.5059999995,49022.705000000715,98045.41000000143,6.5,8,0,0.2158032,0.1140649
0.1140649,323153.38100000017,417829.58100000006,228477.18100000022,94676.19999999992,189352.39999999985,8.5,9,0,0.240915,0.0625908
0.0625908,200994.35849999997,222039.00300000006,179949.71399999992,21044.644500000068,42089.289000000135,11.0,10,0,0.1140649,0.0680149
0.0680149,218412.69000000006,261305.64700000006,175519.7330000001,42892.95699999998,85785.91399999996,10.5,11,0,0.0625908,0.0878598
0.0878598,282139.29200000037,322113.3140000009,242165.26999999981,39974.022000000536,79948.04400000107,11.0,12,0,0.0680149,0.0716601
0.0716601,203702.95349999977,217119.52499999988,190286.38199999963,13416.571500000122,26833.143000000244,10.833333333333332,13,0,0.0878598,0.0735549
0.0735549,209089.1784999998,258224.33999999985,159954.0169999998,49135.16150000003,98270.32300000006,10.166666666666668,14,0,0.0716601,0.0736727
0.0736727,175753.11049999978,183368.44900000008,168137.7719999995,7615.338500000289,15230.677000000578,8.5,15,0,0.0735549,0.0968116
0.0968116,383537.8995000004,526332.0380000009,240743.76099999988,142794.1385000005,285588.277000001,7.0,16,0,0.0736727,1.0
1.0,3961692.6784999995,6279914.077999998,1643471.2790000013,2318221.3994999984,4636442.798999997,7.0,17,0,0.0968116,0.3102775
0.3102775,1229223.9055000022,1356377.858000003,1102069.9530000011,127153.95250000095,254307.9050000019,7.0,18,0,1.0,0.438412
0.438412,977016.6444999991,1057550.6549999977,896482.6340000005,80534.01049999858,161068.02099999716,6.0,19,0,0.3102775,0.242864
0.242864,528583.0764999997,698249.0589999993,358917.09400000016,169665.98249999958,339331.96499999915,6.5,20,0,0.438412,0.4880109
0.4880109,1062134.7120000017,1776136.8460000034,348132.5780000001,714002.1340000016,1428004.2680000034,6.5,21,0,0.242864,0.430714
0.430714,937430.4880000012,1006350.4440000015,868510.5320000008,68919.95600000035,137839.9120000007,7.0,22,0,0.4880109,0.5026804
0.5026804,939199.8785000001,1620331.8240000003,258067.93299999996,681131.9455000001,1362263.8910000003,6.5,23,0,0.430714,0.1078751
0.1078751,187250.35850000003,205809.50399999987,168691.21300000016,18559.145499999853,37118.29099999971,14.5,0,0,0.5026804,0.1890785
0.1890785,222323.19000000012,250890.8090000004,193755.57099999988,28567.619000000253,57135.23800000051,6.0,1,0,0.1078751,0.7860242
0.7860242,188308.27149999962,189662.1499999993,186954.39299999992,1353.878499999686,2707.756999999372,5.75,2,0,0.1890785,0.3147461
0.3147461,213525.1845,244846.68000000008,182203.68899999993,31321.495500000077,62642.991000000155,6.0,3,0,0.7860242,0.2514255
0.2514255,190221.267,192882.90799999997,187559.62600000005,2661.6409999999596,5323.281999999919,7.5,4,0,0.3147461,0.4081755
0.4081755,652949.592499999,669153.8639999981,636745.3209999999,16204.2714999991,32408.5429999982,9.5,5,0,0.2514255,0.3016792
0.3016792,482589.82800000045,550508.2590000007,414671.39700000023,67918.43100000022,135836.86200000043,10.5,6,0,0.4081755,0.1875349
0.1875349,531298.8310000007,645385.1620000007,417212.50000000076,114086.33099999999,228172.66199999995,11.0,7,0,0.3016792,0.1985873
0.1985873,562611.041000001,785286.7680000009,339935.3140000012,222675.72699999984,445351.4539999997,11.75,8,0,0.1875349,0.3595469
0.3595469,1018620.1750000002,1708905.3800000006,328334.96999999974,690285.2050000004,1380570.4100000008,12.75,9,0,0.1985873,0.1525624
0.1525624,489915.5605,586239.7600000009,393591.36099999904,96324.19950000095,192648.3990000019,13.25,10,0,0.3595469,0.1463513
0.1463513,469970.2159999999,638822.7059999994,301117.7260000004,168852.48999999953,337704.97999999905,13.5,11,0,0.1525624,0.0787751
0.0787751,252966.37300000008,257779.32700000005,248153.41900000008,4812.953999999983,9625.907999999967,12.25,12,0,0.1463513,0.0860819
0.0860819,244698.4980000002,277863.2820000001,211533.71400000024,33164.78399999994,66329.56799999988,11.0,13,0,0.0787751,0.0624621
0.0624621,177556.407,178136.96700000006,176975.84699999998,580.5600000000413,1161.1200000000827,11.0,14,0,0.0860819,0.1185743
0.1185743,282869.93849999993,319378.8369999997,246361.04000000018,36508.89849999976,73017.79699999953,10.5,15,0,0.0624621,0.0658445
0.0658445,260855.77149999992,342139.0819999997,179572.46100000013,81283.31049999979,162566.62099999958,9.0,16,0,0.1185743,0.053479
0.053479,211867.3064999999,216261.36099999995,207473.25199999983,4394.054500000057,8788.109000000113,9.0,17,0,0.0658445,0.4121107
0.4121107,1632655.9735,2849934.7649999997,415377.18200000055,1217278.7914999996,2434557.582999999,9.75,18,0,0.053479,0.5406154
0.5406154,1212120.214000001,1318511.9720000003,1105728.4560000016,106391.75799999933,212783.51599999866,9.0,19,0,0.4121107,0.4965283
0.4965283,1080672.477500001,1115633.004,1045711.9510000022,34960.52649999887,69921.05299999774,9.5,20,0,0.5406154,0.9355116
0.9355116,2036100.4950000034,2609897.196000006,1462303.7940000007,573796.7010000027,1147593.4020000054,8.0,21,0,0.4965283,0.5859698
0.5859698,1275337.8635000002,1665613.2449999982,885062.4820000023,390275.38149999804,780550.762999996,8.0,22,0,0.9355116,0.1049737
0.1049737,196131.1680000003,212637.25100000034,179625.08500000028,16506.083000000028,33012.166000000056,8.0,23,0,0.5859698,0.1135111
0.1135111,197033.27850000016,234484.3720000003,159582.18500000003,37451.093500000134,74902.18700000027,7.5,0,0,0.1049737,0.1597313
0.1597313,187816.0564999999,207768.90899999996,167863.2039999998,19952.85250000008,39905.70500000016,16.0,1,0,0.1135111,0.8421065
0.8421065,201743.95100000012,248592.7140000003,154895.18799999994,46848.76300000018,93697.52600000036,7.0,2,0,0.1597313,0.2595776
0.2595776,176098.6320000003,198568.5360000004,153628.7280000002,22469.904000000097,44939.808000000194,7.0,3,0,0.8421065,0.2716383
0.2716383,205513.70399999994,237394.18400000004,173633.22399999984,31880.480000000098,63760.960000000196,7.5,4,0,0.2595776,0.2954084
0.2954084,472558.56649999926,646268.0799999991,298849.0529999994,173709.51349999988,347419.02699999977,7.0,5,0,0.2716383,0.1664843
0.1664843,266321.46749999997,341354.2350000003,191288.69999999966,75032.76750000031,150065.53500000061,7.75,6,0,0.2954084,0.2864739
0.2864739,811599.5135000005,834284.389,788914.638000001,22684.8754999995,45369.750999999,7.5,7,0,0.1664843,0.1828036
0.1828036,517894.6624999993,547114.792999999,488674.5319999995,29220.130499999766,58440.26099999953,8.0,8,0,0.2864739,0.0797374
0.0797374,225901.47800000012,266389.43700000027,185413.519,40487.95900000013,80975.91800000027,8.0,9,0,0.1828036,0.0648642
0.0648642,208295.06399999984,228540.61199999982,188049.51599999983,20245.547999999995,40491.09599999999,8.5,10,0,0.0797374,0.0624492
0.0624492,200539.77449999982,221870.83099999986,179208.71799999976,21331.05650000005,42662.1130000001,9.0,11,0,0.0648642,0.0898219
0.0898219,288440.0800000001,298074.6049999999,278805.5550000003,9634.52499999982,19269.04999999964,9.0,12,0,0.0624492,0.065966
0.065966,187516.5584999997,212572.58199999985,162460.53499999954,25056.023500000156,50112.04700000031,9.0,13,0,0.0898219,0.0756062
0.0756062,214920.06599999993,216886.3990000001,212953.73299999977,1966.3330000001588,3932.6660000003176,9.0,14,0,0.065966,0.0807066
0.0807066,192533.098,225661.62000000002,159404.576,33128.52200000001,66257.04400000002,9.0,15,0,0.0756062,0.1050955
0.1050955,416356.12699999986,532381.373,300330.8809999997,116025.24600000016,232050.49200000032,8.25,16,0,0.0807066,0.148678
0.148678,589016.4594999988,589462.9519999988,588569.9669999989,446.4924999999348,892.9849999998696,8.0,17,0,0.1050955,0.342871
0.342871,1358349.6344999988,1472623.0169999967,1244076.252000001,114273.38249999785,228546.7649999957,8.75,18,0,0.148678,0.3104823
0.3104823,696135.9740000007,777546.7640000014,614725.1840000001,81410.79000000062,162821.58000000124,8.5,19,0,0.342871,0.2500907
0.2500907,544311.5194999994,642599.0399999989,446023.99899999984,98287.52049999952,196575.04099999904,8.0,20,0,0.3104823,0.6278233
0.6278233,1366430.2844999994,1853312.9409999982,879547.6280000004,486882.65649999894,973765.3129999979,8.0,21,0,0.2500907,0.7739635
0.7739635,1684498.2095000008,1818549.6080000019,1550446.8109999998,134051.39850000106,268102.7970000021,7.5,22,0,0.6278233,0.691915
0.691915,1292762.8250000011,1999183.6760000016,586341.9740000004,706420.8510000006,1412841.7020000012,7.0,23,0,0.7739635,0.1760627
0.1760627,305610.8960000002,381790.67199999996,229431.12000000037,76179.7759999998,152359.5519999996,6.9,0,0,0.691915,0.1938342
0.1938342,227914.97849999997,259237.15900000013,196592.79799999978,31322.180500000177,62644.361000000354,16.3,1,0,0.1760627,0.1993172
0.1993172,181797.8590000003,183192.63000000044,180403.08800000013,1394.7710000001534,2789.542000000307,6.300000000000001,2,0,0.1938342,0.2095144
0.2095144,191098.67700000008,203529.26500000022,178668.08899999998,12430.58800000012,24861.17600000024,6.0,3,0,0.1993172,0.2308768
0.2308768,210583.4650000002,241240.63600000017,179926.29400000023,30657.170999999973,61314.341999999946,5.75,4,0,0.2095144,0.1537744
0.1537744,245989.6465000001,329168.264,162811.02900000013,83178.61749999995,166357.2349999999,5.0,5,0,0.2308768,0.2486436
0.2486436,397749.88300000026,484851.8519999998,310647.9140000007,87101.96899999955,174203.9379999991,5.75,6,0,0.1537744,0.1406503
0.1406503,398471.6439999998,566696.8779999994,230246.41000000015,168225.23399999965,336450.4679999993,5.0,7,0,0.2486436,0.2529404
0.2529404,716596.9259999997,894663.333,538530.5189999994,178066.4070000003,356132.8140000006,5.5,8,0,0.1406503,0.0749587
0.0749587,212362.95100000018,260311.78000000017,164414.1220000002,47948.82899999998,95897.65799999997,6.0,9,0,0.2529404,0.0671859
0.0671859,203508.35100000026,254775.7120000006,152240.98999999993,51267.36100000034,102534.72200000068,6.0,10,0,0.0749587,0.0702836
0.0702836,212891.28900000016,217380.76000000027,208401.81800000006,4489.471000000107,8978.942000000214,6.75,11,0,0.0671859,0.0880575
0.0880575,266729.2500000001,296085.704,237372.79600000015,29356.45399999994,58712.90799999988,6.5,12,0,0.0702836,0.266882
0.266882,758645.6435000007,1256210.0730000015,261081.21399999986,497564.42950000084,995128.8590000016,6.0,13,0,0.0880575,0.612986
0.612986,1742489.8034999992,2961988.345999999,522991.26099999965,1219498.5424999997,2438997.0849999995,6.0,14,0,0.266882,0.2580151
0.2580151,458999.86349999986,476052.1419999995,441947.58500000025,17052.278499999637,34104.55699999927,6.5,15,0,0.612986,0.1740001
0.1740001,689334.9695000008,701695.2999999999,676974.6390000017,12360.330499999109,24720.660999998217,5.9375,16,0,0.2580151,0.2384203
0.2384203,944547.9000000004,1064293.9610000004,824801.8390000003,119746.06100000005,239492.1220000001,5.6875,17,0,0.1740001,0.1973617
0.1973617,781886.4545000003,860295.1350000002,703477.7740000004,78408.6804999999,156817.3609999998,5.4375,18,0,0.2384203,0.3564713
0.3564713,799248.5930000003,800054.253,798442.9330000008,805.6599999996251,1611.3199999992503,5.1875,19,0,0.1973617,0.501247
0.501247,1090942.4219999989,1608329.9929999975,573554.8510000001,517387.57099999866,1034775.1419999973,5.0,20,0,0.3564713,1.0
1.0,2176456.772500002,2474373.3230000003,1878540.222000003,297916.5504999986,595833.1009999972,5.25,21,0,0.501247,0.8151406
0.8151406,1774118.2770000019,2532501.6700000037,1015734.8840000002,758383.3930000017,1516766.7860000036,5.5,22,0,1.0,0.2352415
0.2352415,439521.446499999,563251.2549999983,315791.6379999997,123729.80849999929,247459.61699999857,5.0,23,0,0.8151406,0.11204
0.11204,194479.83999999997,211776.98999999982,177182.6900000001,17297.149999999863,34594.29999999973,5.0,0,0,0.2352415,0.2033437
0.2033437,239096.58900000004,240296.86399999994,237896.31400000013,1200.2749999999069,2400.5499999998137,6.5,1,0,0.11204,0.195725
0.195725,178521.40650000016,192673.49699999992,164369.31600000037,14152.090499999773,28304.180999999546,16.0,2,0,0.2033437,0.217637
0.217637,198507.35849999991,217928.84499999988,179085.87199999994,19421.48649999997,38842.97299999994,5.0,3,0,0.195725,0.4515308
