0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
7.0,5.0,4.0,8.0,5.0,2.0,2.0,4.0,3.0,4.0,2.0,0.19999999999999996,1.0,-4.0,-4.0,-3.0,-5.0,-6.0,-2.0,7.0,4.0,8.0,7.0,3.25,1.0,1.0,1.1666666666666667,0.0,1.0,-1.0,-1.0
8.0,4.0,3.0,8.0,5.0,2.0,2.0,4.0,3.0,4.0,2.0,0.0,1.0,-5.0,-5.0,-3.0,-7.0,-6.0,2.0,8.0,3.0,8.0,6.0,3.0,1.0,1.0,1.0,0.0,1.0,-1.0,-1.0
8.0,4.0,3.0,8.0,5.0,2.0,1.5,5.0,3.0,4.0,2.0,1.0,1.0,-4.0,-5.0,-3.5,-7.0,-7.0,0.0,7.0,3.0,8.0,6.0,3.0,1.0,1.0,1.0,0.0,1.0,-1.0,-1.0
8.0,4.0,3.0,8.0,5.0,2.0,1.0,4.0,3.0,4.0,2.0,1.0,1.0,-4.0,-5.0,-4.0,-8.0,-7.0,1.0,7.0,3.0,8.0,6.0,3.0,1.0,1.0,1.0,0.0,1.0,-1.0,-1.0
8.0,5.0,3.0,7.0,6.0,1.0,0.0,4.0,2.0,3.0,2.0,1.0,1.0,-4.0,-6.0,-4.0,-7.0,-7.0,1.5,7.0,3.0,8.0,6.0,3.0,1.0,1.0,1.0,0.0,1.0,-1.0,-1.0
8.0,5.0,2.0,7.0,6.0,2.0,0.0,4.0,2.0,4.0,2.0,1.0,1.0,-5.0,-4.0,-5.0,-7.0,-7.0,2.0,7.0,3.0,7.0,6.0,3.0,1.0,1.0,2.0,0.0,1.0,-1.0,-1.0
8.0,8.0,3.0,8.0,5.0,1.0,0.0,4.0,2.0,4.0,2.0,1.0,2.0,-5.0,-5.0,-5.0,-8.0,-7.0,2.0,7.0,3.0,6.0,6.0,2.0,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0
8.0,6.0,3.0,7.0,5.0,1.0,0.0,4.0,2.0,3.0,2.0,1.0,2.0,-5.0,-5.0,-4.0,-8.0,-7.0,2.0,6.0,4.0,6.0,6.0,1.0,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0
8.0,6.0,3.0,6.5,4.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,2.0,-5.0,-5.0,-6.0,-8.0,-7.0,3.0,6.0,4.0,6.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0
8.0,5.0,2.0,6.0,4.0,1.0,1.0,5.0,3.0,3.0,2.0,1.0,2.0,-5.0,-5.0,-6.0,-7.0,-8.0,3.0,6.0,4.0,6.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0
8.0,6.0,2.0,5.0,4.5,1.0,1.0,4.0,2.0,3.0,2.0,1.0,2.0,-5.0,-4.0,-5.0,-8.0,-7.5,2.0,6.0,3.5,6.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0
8.0,7.0,1.0,5.0,5.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,-5.0,-5.0,-4.0,-8.0,-7.0,3.0,6.0,3.0,6.0,5.0,0.5,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0
9.0,8.5,2.0,5.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,-5.0,-4.0,-5.0,-7.0,-7.0,5.0,6.0,4.0,5.0,5.0,1.0,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0
