,0
0,10.0
1,10.0
2,10.0
3,9.0
4,9.0
5,9.0
6,11.0
7,11.0
8,12.0
9,13.0
10,13.0
11,13.0
12,13.0
13,13.5
14,14.0
15,15.0
16,15.0
17,15.0
18,16.0
19,16.0
20,17.0
21,18.0
22,18.0
23,18.0
24,18.0
25,18.0
26,18.0
27,18.0
28,19.0
29,18.0
30,17.0
31,17.0
32,16.0
33,15.0
34,14.5
35,14.0
36,14.0
37,14.0
38,14.0
39,14.0
40,13.0
41,13.0
42,13.0
43,13.0
44,12.0
45,11.5
46,11.0
47,10.0
48,9.666666666666666
49,9.333333333333334
50,9.0
51,8.0
52,9.0
53,9.0
54,10.0
55,10.5
56,11.0
57,12.0
58,12.0
59,13.0
60,14.0
61,14.0
62,14.0
63,15.0
64,16.0
65,17.0
66,17.0
67,17.0
68,17.0
69,17.5
70,18.0
71,17.5
72,17.0
73,17.0
74,16.5
75,16.0
76,15.0
77,16.0
78,16.0
79,15.0
80,14.0
81,12.5
82,11.0
83,12.0
84,10.0
85,11.0
86,10.0
87,11.0
88,10.0
89,10.0
90,10.0
91,10.0
92,9.5
93,9.0
94,7.0
95,7.0
96,8.0
97,8.0
98,8.0
99,8.0
100,8.0
101,9.0
102,9.0
103,10.0
104,11.0
105,12.0
106,13.0
107,15.0
108,15.0
109,16.0
110,17.0
111,17.0
112,17.0
113,17.0
114,18.0
115,18.0
116,19.0
117,20.0
118,19.0
119,20.0
120,20.0
121,20.0
122,19.0
123,18.0
124,19.0
125,19.0
126,18.0
127,17.0
128,15.0
129,14.0
130,15.0
131,14.0
132,12.0
133,11.0
134,12.0
135,11.0
136,10.0
137,9.0
138,8.0
139,9.0
140,8.0
141,7.0
142,7.0
143,7.0
144,7.0
145,6.0
146,6.0
147,5.0
148,6.0
149,7.0
150,8.0
151,10.0
152,12.0
153,13.0
154,14.0
155,15.0
156,16.0
157,17.0
158,18.0
159,19.0
160,19.0
161,20.0
162,20.0
163,21.0
164,22.0
165,22.0
166,22.0
167,22.0
168,22.0
169,22.0
170,23.0
171,22.5
172,22.0
173,22.0
174,22.0
175,20.0
176,17.0
177,17.0
178,16.0
179,16.0
180,15.0
181,14.0
182,14.0
183,14.0
184,13.0
185,12.0
186,12.0
187,12.0
188,11.5
189,11.0
190,11.0
191,11.0
192,11.0
193,11.0
194,11.0
195,11.0
196,11.0
197,11.0
198,11.0
199,11.0
200,11.0
201,11.0
202,11.0
203,11.0
204,11.0
205,11.0
206,12.0
207,13.0
208,14.0
209,13.0
210,13.0
211,14.0
212,14.0
213,15.0
214,15.0
215,16.0
216,16.0
217,16.0
218,16.0
219,16.0
220,15.0
221,16.0
222,15.0
223,14.0
224,14.0
225,13.0
226,12.0
227,9.0
228,9.0
229,9.0
230,9.0
231,8.0
232,9.0
233,8.0
234,8.0
235,8.333333333333334
236,8.666666666666666
237,9.0
238,9.333333333333334
239,9.666666666666666
240,10.0
241,10.0
242,10.0
243,10.0
244,10.0
245,10.0
246,10.0
247,10.0
248,11.0
249,11.0
250,11.0
251,12.0
252,13.0
253,13.0
254,14.0
255,14.0
256,14.0
257,14.0
258,14.0
259,14.0
260,9.0
261,10.0
262,11.0
263,12.0
264,11.0
265,13.0
266,12.0
267,12.0
268,11.0
269,12.0
270,12.0
271,12.0
272,10.0
273,10.0
274,11.0
275,9.0
276,9.0
277,9.5
278,10.0
279,10.0
280,9.0
281,8.0
282,8.0
283,8.0
284,7.6
285,7.2
286,6.8
287,6.4
288,6.0
289,5.0
290,5.0
291,6.0
292,7.0
293,7.0
294,8.0
295,9.0
296,11.0
297,11.0
298,12.0
299,12.0
300,12.5
301,13.0
302,13.0
303,14.0
304,15.0
305,15.0
306,15.0
307,14.0
308,14.0
309,16.0
310,17.0
311,17.0
312,17.0
313,17.0
314,17.0
315,17.0
316,17.0
317,16.0
318,16.0
319,16.0
320,14.0
321,15.0
322,12.0
323,13.0
324,12.0
325,12.0
326,11.0
327,10.0
328,9.0
329,8.0
330,7.0
331,6.666666666666667
332,6.333333333333333
333,6.0
334,6.0
335,6.0
336,6.0
337,5.0
338,6.0
339,5.0
340,5.0
341,5.0
342,7.0
343,9.0
344,10.0
345,11.5
346,13.0
347,14.0
348,15.0
349,16.0
350,17.0
351,18.0
352,19.0
353,19.0
354,20.0
355,20.0
356,21.0
357,20.0
358,21.0
359,20.0
360,19.0
361,19.0
362,19.0
363,19.0
364,19.0
365,18.0
366,16.0
367,15.0
368,14.0
369,13.0
370,13.0
371,13.0
372,12.0
373,12.0
374,12.0
375,12.0
376,12.0
377,12.0
378,12.0
379,12.0
380,12.0
381,12.0
382,12.0
383,12.0
384,12.0
385,12.0
386,12.0
387,12.0
388,12.0
389,12.0
390,13.0
391,13.0
392,13.0
393,13.0
394,13.0
395,13.0
396,14.0
397,15.0
398,15.0
399,15.0
400,14.0
401,15.0
402,16.0
403,17.0
404,17.0
405,18.0
406,20.0
407,19.0
408,20.0
409,20.0
410,18.0
411,17.0
412,16.0
413,16.0
414,17.0
415,16.5
416,16.0
417,15.0
418,15.0
419,14.0
420,14.0
421,14.0
422,13.0
423,12.0
424,11.0
425,11.0
426,11.0
427,11.0
428,11.0
429,11.0
430,11.0
431,11.0
432,11.0
433,11.0
434,11.0
435,11.0
436,11.0
437,11.0
438,11.0
439,12.0
440,12.0
441,13.0
442,14.0
443,15.0
444,16.0
445,17.0
446,18.0
447,20.0
448,21.0
449,22.0
450,22.5
451,23.0
452,24.0
453,25.0
454,26.0
455,26.0
456,27.0
457,27.0
458,26.0
459,26.0
460,25.0
461,25.5
462,26.0
463,26.0
464,24.0
465,22.0
466,20.0
467,18.0
468,18.0
469,16.0
470,17.0
471,16.0
472,16.0
473,14.0
474,15.0
475,15.0
476,15.0
477,15.0
478,13.0
479,13.0
480,13.0
481,12.0
482,12.0
483,12.0
484,11.0
485,12.0
486,13.0
487,16.0
488,17.0
489,18.0
490,20.0
491,21.0
492,24.0
493,24.0
494,25.0
495,25.0
496,26.0
497,26.0
498,27.0
499,27.0
500,28.0
501,28.0
502,29.0
503,29.0
504,29.0
505,30.0
506,30.0
507,29.0
508,28.5
509,28.0
510,28.0
511,27.0
512,26.0
513,25.0
514,23.0
515,23.0
516,22.0
517,20.0
518,20.0
519,19.5
520,19.0
521,18.0
522,17.5
523,17.0
524,18.0
525,19.0
526,18.0
527,17.0
528,16.0
529,16.0
530,16.0
531,16.0
532,16.0
533,16.0
534,16.0
535,16.0
536,14.5
537,13.0
538,12.0
539,11.0
540,11.0
541,10.0
542,11.0
543,10.0
544,10.0
545,11.0
546,11.0
547,11.0
548,10.0
549,10.0
