0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
-4.0,-7.0,-8.5,-18.857142857142858,-15.0,-15.0,-14.0,-9.0,-12.0,-10.0,-9.0,-12.0,-17.0,-5.0,0.0,2.0,-1.3333333333333335,0.0,2.0,-1.0,-6.0,-4.0,-3.0,3.0,5.0,6.0,2.0,-2.0
-4.0,-7.0,-10.0,-19.0,-14.0,-16.0,-14.0,-9.0,-12.5,-10.0,-9.0,-13.0,-17.0,-5.0,0.0,1.0,-1.0,0.0,1.0,-1.0,-5.0,-4.5,-4.0,3.0,4.0,6.0,2.0,-2.0
-4.0,-7.5,-11.0,-18.0,-14.0,-17.0,-14.0,-9.0,-13.0,-9.0,-9.0,-14.0,-17.0,-5.0,0.0,2.0,-1.0,0.0,2.0,-1.0,-4.0,-5.0,-3.0,3.0,4.0,6.0,2.0,-3.0
-5.0,-8.0,-11.0,-19.0,-14.0,-17.0,-14.0,-9.0,-13.0,-9.0,-9.0,-14.0,-17.0,-5.0,0.0,2.0,-1.0,0.0,3.0,-1.5,-5.0,-5.0,-3.0,3.0,4.0,6.0,1.0,-3.0
-5.0,-8.0,-11.0,-19.0,-13.0,-17.0,-14.0,-9.0,-14.0,-9.0,-10.0,-14.0,-17.0,-5.0,0.0,1.0,-2.0,0.0,2.0,-2.0,-6.0,-6.0,-3.0,3.0,4.0,6.0,0.0,-3.0
-5.0,-8.0,-12.0,-18.5,-14.0,-16.0,-14.0,-9.5,-14.0,-11.0,-10.0,-13.0,-18.0,-5.0,0.0,1.0,-2.0,0.0,2.0,-1.0,-6.0,-5.0,-3.0,2.0,4.0,6.0,-1.0,-3.0
-5.0,-8.0,-12.0,-18.0,-14.0,-16.0,-14.0,-10.0,-14.0,-10.0,-10.0,-13.0,-17.0,-5.0,0.0,1.0,-2.0,0.0,2.0,-2.0,-7.0,-6.0,-2.0,2.0,4.0,5.0,-2.0,-3.0
-5.0,-8.0,-13.0,-14.0,-14.0,-15.0,-14.0,-9.0,-15.0,-10.0,-10.0,-13.0,-18.0,-5.0,0.0,1.0,-2.0,0.0,2.0,-2.0,-6.0,-6.0,-2.0,2.0,4.0,6.0,-1.0,-3.0
-5.0,-9.0,-13.0,-14.0,-14.0,-15.0,-14.0,-9.0,-14.5,-10.0,-10.0,-14.0,-17.0,-5.0,0.0,1.0,-2.0,0.0,2.0,-2.0,-6.5,-6.0,-2.0,1.5,5.0,6.0,-2.0,-4.0
-6.0,-9.0,-13.0,-14.0,-14.0,-15.5,-13.666666666666666,-9.0,-14.0,-11.0,-10.0,-14.0,-16.0,-5.0,0.0,1.0,-2.0,0.0,3.0,-1.0,-7.0,-6.0,-1.0,1.0,4.0,5.5,-2.0,-3.0
-6.0,-9.0,-13.0,-14.0,-14.0,-16.0,-13.333333333333334,-9.0,-16.0,-10.0,-10.0,-15.0,-15.0,-5.0,0.0,2.0,-1.0,1.0,3.0,-2.0,-7.0,-6.0,-0.5,1.0,4.0,5.0,-1.0,-3.0
-6.0,-9.0,-13.0,-14.0,-14.0,-15.0,-13.0,-9.0,-15.0,-10.0,-10.0,-15.0,-15.0,-4.0,0.0,1.0,-1.0,1.0,3.0,-1.0,-6.0,-5.0,0.0,0.0,4.0,5.0,-2.0,-2.0
-6.0,-9.0,-13.0,-14.0,-14.0,-15.0,-12.5,-9.5,-14.0,-8.0,-10.0,-13.0,-14.0,-4.0,0.0,1.0,-1.0,1.0,3.0,0.0,-5.0,-4.0,0.0,2.0,5.0,5.0,-1.0,-1.0
