0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
11.0,14.0,14.0,18.0,16.0,16.0,9.0,10.0,10.0,15.0,13.0,16.0,9.0,4.0,10.0,9.0,8.333333333333334,10.0,13.0,5.0,5.0,16.0,11.0,13.0,10.0,9.0,9.0,8.0,9.333333333333334,11.0
11.0,13.0,14.0,17.0,16.0,16.0,9.0,11.0,9.0,15.0,14.0,16.0,9.0,4.0,11.0,8.5,8.0,10.0,13.0,5.0,4.0,16.0,11.0,12.5,10.0,8.5,9.0,7.0,10.0,11.0
11.0,13.0,14.0,17.0,16.0,16.0,8.0,9.0,10.0,15.0,14.0,16.0,8.0,5.0,11.0,8.0,9.0,10.0,13.0,5.0,4.0,16.0,11.0,12.0,10.0,8.0,9.0,6.0,10.0,11.0
11.0,14.0,15.0,17.0,15.0,16.0,8.0,10.0,9.0,15.0,14.0,15.0,7.0,6.0,11.0,7.0,9.0,10.0,12.0,5.0,4.0,16.0,11.5,12.0,9.5,8.0,9.0,6.0,10.0,10.0
10.0,14.0,15.0,17.0,16.0,16.0,9.0,10.0,9.0,14.0,14.0,15.0,7.0,6.0,11.0,7.0,8.0,10.0,12.0,5.0,3.5,16.0,12.0,12.0,9.0,8.0,9.0,6.0,10.0,10.0
10.0,14.0,15.0,18.0,16.0,16.0,8.0,10.0,9.0,14.0,14.0,14.0,7.0,6.0,11.0,9.0,9.0,10.0,12.0,5.0,3.0,16.0,12.0,12.0,8.5,8.0,9.0,6.0,10.0,10.0
10.0,14.0,15.0,18.0,16.0,16.0,8.0,11.0,9.0,14.0,14.0,14.0,7.0,6.0,12.0,8.0,8.0,10.0,11.5,5.0,4.0,16.0,11.0,13.0,8.0,9.0,9.0,6.0,10.0,10.0
11.0,14.0,15.0,18.0,17.0,16.0,9.0,11.0,10.0,15.0,15.0,14.0,8.0,6.0,11.0,8.0,9.0,10.0,11.0,5.0,5.0,15.5,12.0,13.0,10.0,9.0,9.0,7.0,10.0,11.0
11.0,14.0,15.0,18.0,17.0,16.0,10.0,12.0,12.0,17.0,16.0,14.0,9.0,6.0,12.0,9.0,10.0,11.0,11.0,6.0,6.0,15.0,12.0,13.0,11.0,10.0,10.0,8.0,10.0,11.0
11.0,14.0,15.0,18.0,17.0,16.0,11.0,12.0,13.0,19.0,17.0,13.0,10.0,6.0,12.0,10.0,12.0,12.0,11.0,6.0,7.0,16.0,12.0,13.0,13.0,11.0,10.0,9.0,10.0,11.0
